,_id,_index,_score,_source.dev_id,_source.relative_humidity_3,_source.temperature_2,_source.time,_type
122,67a9cc20-c9db-4d07-a7d7-58ac2df34a9e,coffee_sensors,1.0,aws-dev-01,51.0,20.0,2018-09-02T13:31:03.150609585Z,sensor
123,d33c0c51-fee1-4d7e-9393-56314be6b79e,coffee_sensors,1.0,aws-dev-01,54.0,18.0,2018-09-02T13:56:55.239853081Z,sensor
124,06d6bcb6-9cc1-4572-9e1c-b5a8452a61ff,coffee_sensors,1.0,aws-dev-01,77.0,14.0,2018-09-02T02:37:12.73539413Z,sensor
125,02032246-aaa8-4963-85f2-700cfaad8663,coffee_sensors,1.0,aws-dev-01,78.0,14.0,2018-09-02T03:03:06.655570861Z,sensor
126,f92e98e2-ede9-449f-b507-95185984b162,coffee_sensors,1.0,aws-dev-01,,,2018-09-02T00:59:26.569011257Z,sensor
127,b6249410-28b0-4b21-840f-1a9cacf1c210,coffee_sensors,1.0,aws-dev-01,54.0,18.0,2018-09-02T14:02:01.412423542Z,sensor
128,514ace3c-28af-44e6-b64b-bdef41428cb6,coffee_sensors,1.0,aws-dev-01,57.0,18.0,2018-09-02T14:22:29.233004707Z,sensor
129,1fa2b6a0-6a68-4a97-b3c9-91fd3027c942,coffee_sensors,1.0,aws-dev-01,61.0,16.0,2018-09-02T15:34:47.152533393Z,sensor
130,fc283d87-b74c-4f14-be4f-d3c36e46d1c3,coffee_sensors,1.0,aws-dev-01,63.0,16.0,2018-09-02T15:55:15.552435218Z,sensor
131,b0054459-9ac3-46c1-a253-38a1ceb30958,coffee_sensors,1.0,aws-dev-01,64.0,16.0,2018-09-02T16:36:37.684137679Z,sensor
132,e26edc1b-f249-4f8f-8163-7b0b6967ffe5,coffee_sensors,1.0,aws-dev-01,65.0,16.0,2018-09-02T16:57:02.734819381Z,sensor
133,c205d9f2-fd77-4172-a70e-e3d3e8ce9089,coffee_sensors,1.0,aws-dev-01,66.0,16.0,2018-09-02T18:08:38.450727376Z,sensor
134,1fa534a3-e5fa-43bc-98cf-6d140598a50f,coffee_sensors,1.0,aws-dev-01,66.0,16.0,2018-09-02T18:34:15.683200082Z,sensor
135,a39642e2-dcc9-46f3-a07a-f7cc40f3d7f1,coffee_sensors,1.0,aws-dev-01,,,2018-09-02T16:15:57.633993674Z,sensor
136,0f756711-ae66-4d8c-958f-bfcfa164a63f,coffee_sensors,1.0,aws-dev-01,69.0,15.0,2018-09-02T20:12:40.413756524Z,sensor
137,c125f8cf-a393-40fd-a438-18f897fb588d,coffee_sensors,1.0,aws-dev-01,69.0,15.0,2018-09-02T20:38:32.463859861Z,sensor
138,a3852f50-7459-4cee-85b2-981eed2775a9,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-02T22:16:12.457254113Z,sensor
139,7d45dbe7-1ae7-4f6a-8743-a0c77aabb214,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-02T22:47:04.676491649Z,sensor
140,d4f2b496-147f-4142-a2db-dc5eb06ea5db,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-02T23:02:29.847884508Z,sensor
141,69abeeb4-e464-4be7-9bbf-93dc684ba965,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-02T22:06:00.01566772Z,sensor
142,cd47636e-463b-41b2-8e0b-9b414a2fb8ee,coffee_sensors,1.0,aws-dev-01,,,2018-09-02T19:15:31.921752956Z,sensor
143,befa1b11-69c8-4262-8881-5968aaa18797,coffee_sensors,1.0,aws-dev-01,,,2018-09-02T19:26:02.342575138Z,sensor
144,66939b22-0ce2-401f-9af6-143963c59eb9,coffee_sensors,1.0,aws-dev-01,,,2018-09-02T20:02:15.789334724Z,sensor
145,2e8645c8-6933-4eba-a665-f2236a683b0c,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-02T23:23:03.139125047Z,sensor
146,4c06768c-731b-4e93-a9ce-33bf03635382,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-02T23:43:49.441508528Z,sensor
147,2c6315cd-efa4-490b-aaa8-411d29cd9dec,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-03T00:20:14.443385954Z,sensor
148,7fa2d426-11db-4656-8ef3-e6f921ef42fb,coffee_sensors,1.0,aws-dev-01,72.0,14.0,2018-09-03T00:35:39.074034043Z,sensor
